reg_id,distance_cm,bacteria_count,infection_rate,spread_path_factor,airborne_bacteria_fraction,respirable_bacteria_fraction,airflow_speed_m_s,environment_stability,class_bacteria_level,moisture_level,dispersion_factor
1,1,283870000000000,1.0,1.0,0.5,0.5,4.91,C,Z1,0.0001,0.0019
2,1,132350000000000,0.7,1.0,1.0,0.5,4.88,B,N4,0.0001,0.00052
3,1,142930000000000,0.6,0.5,1.0,0.6,3.27,B,N4,0.00026,0.0004
4,1,283870000000000,1.0,1.0,0.5,0.5,4.91,C,Z1,0.0001,0.0019
5,1,132350000000000,0.7,1.0,1.0,0.5,4.88,D,M7,0.0001,0.0036
6,1,142930000000000,0.6,0.5,1.0,0.6,3.27,B,N4,0.00026,0.0004
7,1,283870000000000,1.0,1.0,0.5,0.5,4.91,E,T6,0.0001,0.015
8,1,132350000000000,0.7,1.0,1.0,0.5,4.88,F,QS,0.0001,0.03
9,1,142930000000000,0.6,0.5,1.0,0.6,3.27,E,T6,0.00026,0.0068
10,1,184260000000000,1.0,0.5,1.0,0.8,3.44,C,Z1,0.0001,0.0028
11,1,267220000000000,0.8,1.0,1.0,1.0,4.99,E,T6,0.0001,0.044
12,1,109610000000000,0.5,0.9,0.8,0.7,4.34,D,M7,0.0001,0.0024
13,1,120830000000000,0.9,0.5,0.7,1.0,3.06,D,M7,0.00018,0.0043
14,1,308260000000000,0.6,0.5,0.5,0.5,4.58,C,Z1,0.0001,0.00067
15,1,48764000000000,0.6,0.5,1.0,0.7,4.59,C,Z1,0.0001,0.0003
16,1,337530000000000,0.9,1.0,0.5,0.7,3.88,D,M7,0.0001,0.01
17,1,309990000000000,0.6,0.6,1.0,1.0,3.12,C,Z1,0.0001,0.0046
18,1,396170000000000,0.5,0.5,0.5,0.5,3.38,D,M7,0.0001,0.0027
19,1,377980000000000,0.7,0.5,1.0,1.0,3.44,E,T6,0.00058,0.029
20,1,227210000000000,0.5,0.5,0.5,0.5,4.33,A,V3,0.0001,7.8e-05
21,1,423290000000000,0.6,0.5,1.0,1.0,4.5,C,Z1,0.00027,0.0036
22,1,346100000000000,0.5,0.7,0.6,0.5,4.49,B,N4,0.0001,0.00044
23,1,324110000000000,0.5,0.5,1.0,0.7,3.56,B,N4,0.0001,0.00085
24,1,429740000000000,1.0,0.5,0.5,0.9,3.92,A,V3,0.00024,0.00056
25,1,289800000000000,0.5,0.6,0.5,0.5,4.3,D,M7,0.0001,0.0019
26,1,50610000000000,1.0,1.0,0.6,1.0,3.0,C,Z1,0.0001,0.0013
27,1,272610000000000,0.5,0.6,0.9,1.0,4.98,D,M7,0.00011,0.0055
28,1,149600000000000,1.0,1.0,1.0,0.6,4.37,D,M7,0.0003,0.0072
29,1,254700000000000,0.5,1.0,0.5,0.8,3.23,C,Z1,0.0001,0.002
30,1,71380000000000,1.0,0.5,0.8,0.5,4.88,A,V3,0.00015,6.9e-05
31,1,436560000000000,0.7,0.5,0.8,0.5,4.5,B,N4,0.00041,0.00068
32,1,64092000000000,1.0,0.9,0.5,1.0,3.31,F,QS,0.0001,0.023
33,1,48891000000000,1.0,1.0,1.0,0.6,4.82,D,M7,0.0005,0.0021
34,1,69412000000000,1.0,0.5,1.0,0.9,4.94,A,V3,0.0001,0.00015
35,1,157750000000000,0.6,0.5,0.5,0.5,3.7,C,Z1,0.0001,0.00042
36,1,390890000000000,1.0,0.6,0.5,0.7,4.56,F,QS,0.0001,0.055
37,1,329000000000000,1.0,1.0,0.5,0.5,3.92,C,Z1,0.0001,0.0028
38,1,82431000000000,1.0,0.5,0.5,0.8,3.26,F,QS,0.00035,0.011
39,1,248450000000000,1.0,0.9,0.5,0.5,3.17,A,V3,0.0001,0.00041
40,1,349190000000000,0.5,0.5,0.8,0.6,4.28,B,N4,0.0001,0.00053
41,1,92982000000000,1.0,0.5,1.0,1.0,3.47,C,Z1,0.0001,0.0017
42,1,273300000000000,1.0,1.0,1.0,1.0,4.86,B,N4,0.00053,0.0028
43,1,45766000000000,0.9,1.0,0.5,0.5,4.73,E,T6,0.0001,0.0022
44,1,186930000000000,1.0,0.5,1.0,0.5,3.65,E,T6,0.00034,0.011
45,1,292050000000000,0.9,0.5,0.5,0.5,3.3,E,T6,0.0001,0.0094
46,1,255330000000000,0.7,1.0,1.0,0.5,4.72,B,N4,0.0004,0.00096
47,1,66543000000000,1.0,0.5,0.8,0.5,4.82,E,T6,0.0001,0.0028
48,1,168650000000000,0.5,0.7,0.6,0.6,4.6,D,M7,0.0001,0.0017
49,1,336960000000000,0.9,0.8,1.0,0.8,4.57,C,Z1,0.00043,0.0052
50,1,277870000000000,1.0,1.0,1.0,0.5,4.65,B,N4,0.0001,0.0016
51,1,231850000000000,0.5,0.5,0.5,1.0,4.32,F,QS,0.0001,0.02
52,1,318650000000000,0.5,0.5,0.5,0.7,4.76,D,M7,0.0001,0.0022
53,1,91442000000000,0.7,0.5,0.9,1.0,4.83,C,Z1,0.0001,0.0008
54,1,112680000000000,0.9,1.0,0.5,0.6,3.17,F,QS,0.0001,0.024
55,1,172650000000000,1.0,0.9,0.5,0.5,3.3,E,T6,0.00044,0.0093
56,1,394350000000000,0.9,1.0,0.9,1.0,3.33,F,QS,0.0003,0.22
57,1,423110000000000,0.5,0.5,0.5,0.9,4.14,F,QS,0.00015,0.033
58,1,181530000000000,1.0,0.5,0.5,0.5,3.16,D,M7,0.00031,0.0024
59,1,93965000000000,1.0,0.6,1.0,1.0,3.69,F,QS,0.0001,0.042
60,1,375630000000000,0.6,1.0,0.5,1.0,3.62,E,T6,0.0001,0.03
61,1,263910000000000,1.0,0.5,0.9,1.0,3.38,C,Z1,0.0001,0.0046
62,1,100140000000000,0.6,1.0,1.0,0.5,3.49,D,M7,0.00028,0.0029
63,1,315730000000000,0.9,1.0,0.5,1.0,3.51,C,Z1,0.0001,0.0053
64,1,271780000000000,1.0,0.5,1.0,0.8,4.62,B,N4,0.0001,0.0013
65,1,398150000000000,1.0,1.0,0.6,0.5,3.91,F,QS,0.00049,0.068
66,1,206180000000000,1.0,0.9,0.6,0.6,3.94,D,M7,0.0001,0.0062
67,1,89799000000000,0.7,1.0,0.8,0.5,4.72,F,QS,0.00042,0.014
68,1,365710000000000,0.5,0.9,0.9,1.0,4.35,F,QS,0.0001,0.1
69,1,212850000000000,0.9,0.8,0.5,1.0,4.28,F,QS,0.00019,0.05
70,1,249220000000000,1.0,0.5,0.5,0.7,4.66,D,M7,0.0001,0.0035
71,1,386810000000000,1.0,1.0,1.0,0.7,3.88,D,M7,0.0001,0.026
72,1,435390000000000,0.5,0.5,0.6,0.7,3.38,A,V3,0.0001,0.00032
73,1,141770000000000,0.5,1.0,0.8,1.0,3.39,D,M7,0.0001,0.006
74,1,401010000000000,1.0,0.8,1.0,0.5,3.71,F,QS,0.0001,0.12
75,1,326200000000000,0.8,0.9,0.5,0.5,3.72,C,Z1,0.0001,0.0021
76,1,378070000000000,0.5,0.5,1.0,0.8,4.8,C,Z1,0.0005,0.0019
77,1,216130000000000,0.8,0.5,0.6,0.8,4.82,A,V3,0.0001,0.0002
78,1,81444000000000,0.7,0.5,0.5,0.9,4.77,F,QS,0.0001,0.0084
79,1,86111000000000,0.8,0.9,0.9,0.5,3.67,E,T6,0.00011,0.0074
80,1,255700000000000,0.7,0.5,0.9,0.5,3.99,C,Z1,0.0001,0.0013
81,1,134290000000000,0.7,1.0,0.7,0.9,4.28,A,V3,0.00023,0.00032
82,1,408320000000000,0.5,0.8,1.0,1.0,4.81,C,Z1,0.0001,0.0045
83,1,160820000000000,1.0,0.6,0.6,0.5,4.74,E,T6,0.00054,0.0053
84,1,298780000000000,0.5,0.5,0.5,0.5,3.75,F,QS,0.00049,0.011
85,1,349480000000000,0.5,1.0,0.5,0.6,3.03,B,N4,0.0001,0.00091
86,1,437790000000000,1.0,0.5,0.5,1.0,3.96,E,T6,0.0002,0.026
87,1,247620000000000,0.9,1.0,0.5,0.5,3.03,B,N4,0.00028,0.00091
88,1,143720000000000,1.0,0.5,0.5,1.0,4.86,B,N4,0.00034,0.00038
89,1,293360000000000,0.5,0.6,0.8,0.5,4.27,F,QS,0.0001,0.024
90,1,281150000000000,1.0,1.0,0.5,0.5,4.91,D,M7,0.00015,0.0053
91,1,148720000000000,0.5,0.5,0.6,0.6,4.03,D,M7,0.0001,0.0012
92,1,136050000000000,1.0,0.5,0.5,0.7,3.87,C,Z1,0.00034,0.00075
93,1,307390000000000,0.6,1.0,0.5,1.0,3.16,B,N4,0.00054,0.0013
94,1,382810000000000,0.5,1.0,1.0,1.0,4.42,B,N4,0.0001,0.0023
95,1,382950000000000,1.0,1.0,0.5,1.0,4.06,E,T6,0.0001,0.047
96,1,398450000000000,0.5,1.0,1.0,0.9,4.11,A,V3,0.00047,0.00093
97,1,217500000000000,1.0,0.5,1.0,1.0,3.17,B,N4,0.00036,0.0017
98,1,305000000000000,0.5,1.0,0.5,1.0,3.76,B,N4,0.0001,0.0011
99,1,118520000000000,1.0,0.6,0.5,1.0,3.82,A,V3,0.0001,0.00022
100,1,321470000000000,0.5,0.9,0.6,0.6,4.07,A,V3,0.00037,0.00028
101,1,71789000000000,0.7,1.0,1.0,0.7,3.59,A,V3,0.0001,0.00023
102,1,362270000000000,0.5,1.0,0.8,0.6,3.94,C,Z1,0.0001,0.0029
103,1,417870000000000,0.5,0.5,1.0,0.5,3.55,E,T6,0.00039,0.012
104,1,94955000000000,1.0,0.9,0.5,0.9,4.31,A,V3,0.00056,0.00019
105,1,396800000000000,0.9,1.0,1.0,1.0,4.4,A,V3,0.00026,0.0018
106,1,281370000000000,0.5,0.5,0.9,0.5,3.41,A,V3,0.0001,0.00022
107,1,222500000000000,0.6,1.0,0.7,0.5,3.66,D,M7,0.0001,0.0047
108,1,400710000000000,0.5,1.0,0.7,0.5,4.03,B,N4,0.0001,0.00094
109,1,371320000000000,0.5,0.5,0.5,0.5,3.36,E,T6,0.0001,0.0066
110,1,248140000000000,1.0,0.5,0.5,0.9,4.38,A,V3,0.0001,0.0003
111,1,246770000000000,1.0,0.6,0.7,0.8,3.2,C,Z1,0.0001,0.0034
112,1,190570000000000,1.0,0.6,0.5,0.5,4.18,E,T6,0.00035,0.0062
113,1,353590000000000,0.7,0.5,0.9,1.0,4.88,A,V3,0.0001,0.00054
114,1,277870000000000,1.0,0.7,0.9,0.6,3.69,E,T6,0.0001,0.028
115,1,208360000000000,0.7,0.5,0.5,0.5,4.22,D,M7,0.0001,0.0016
116,1,426070000000000,1.0,1.0,0.7,0.6,4.32,E,T6,0.0001,0.042
117,1,64838000000000,0.5,0.5,0.5,1.0,3.98,B,N4,0.00054,9.6e-05
118,1,400920000000000,0.9,0.8,1.0,1.0,3.89,E,T6,0.0001,0.073
119,1,390990000000000,1.0,1.0,1.0,0.5,4.71,A,V3,0.0001,0.00099
120,1,326090000000000,0.5,1.0,0.6,1.0,4.17,A,V3,0.00031,0.00052
121,1,177600000000000,1.0,1.0,0.8,0.7,4.96,A,V3,0.00043,0.00044
122,1,73045000000000,1.0,1.0,0.6,1.0,4.27,E,T6,0.0001,0.01
123,1,124800000000000,1.0,1.0,0.5,0.5,3.39,F,QS,0.00018,0.023
